#,Business Name,Industry/Niche,Bogota Location,Website,Website Problem,Business Email,Evidence/Source,Why High-Ticket Prospect,Lead Score
16,HHC Consultores,"Consultoría estratégica/financiera (valoración, M&A)","Cra 8 #38-33, Of. 1204, Centro Internacional, Bogotá",https://www.hhcglobal.com/en,"WEBSITE EXISTS BUT VERY WEAK — sin WhatsApp, sin testimonios, CTAs mínimos, sin captura de leads",info@hhcglobal.com,hhcglobal.com,Consultores con 20-36 años de experiencia; clientes citados incluyen bancos y la alcaldía de Bogotá — trabajo de asesoría de altísimo riesgo mal representado en línea.,8
17,IMSACOL (Ingeniería y Mantenimiento SAS),Ingeniería industrial — fabricación y mantenimiento de moldes/troqueles,"Cra. 13 #134c-03, Bogotá",http://imsacol.com/,"LOW-CONVERSION WEBSITE — página configurada como 'noindex, nofollow' (invisible para Google), rutas de imagen rotas apuntando a localhost, sin testimonios",laura.suarez@imsacol.com,Google Maps; metaetiquetas y bloque de contacto del sitio,Fabricante industrial de 25+ años que atiende clientes corporativos; la etiqueta noindex/nofollow implica que el negocio es esencialmente invisible en búsquedas pese a tener un sitio real — oportunidad enorme y fácil de corregir.,8
18,Integralph (Gestión Integral de Propiedad Horizontal SAS),Administración de propiedad horizontal,"Calle 30A #6-22, Bogotá",https://www.integralph.com/,"OUTDATED — diseño WordPress anticuado, popups intrusivos, bloques de texto densos, mala experiencia móvil",info@integralph.com,integralph.com,Administra 20+ propiedades comerciales/residenciales en Bogotá desde 2006; cuotas de administración recurrentes dependientes de confianza.,8
19,Julieth Bravo Wedding Planner,Wedding planning de lujo,"Cl. 125 #30-65/67, Bogotá (también Miami)",http://www.juliethbravo.com/,"WEBSITE EXISTS BUT VERY WEAK — portada cargada de plantilla, sin portafolio/galería, sin testimonios, sin botón de WhatsApp ni formulario de contacto",hello@juliethbravo.com,"juliethbravo.com (contacto); Google Maps (4.9★, 58 reseñas); Instagram @juliethbravowp (3.449 seguidores)","Wedding planner bilingüe internacional (Bogotá/Miami) — bodas de lujo completas cuestan decenas de miles de USD por cliente, y las parejas investigan planners en línea antes de reservar.",8
20,La Dentistería,"Odontología (implantes, general)","Modelia, Cra 80c #24c-19, Bogotá",https://www.ladentisteria.com.co,"OUTDATED — sitio en Joomla anticuado, sin testimonios ni galería de antes/después",ladentisteria.ce@gmail.com,ladentisteria.com.co,Clínica de implantes establecida con equipo moderno cuya credibilidad es opacada por un sitio anticuado.,8
21,Multisoluciones,"Contabilidad, tributario y outsourcing legal empresarial + administración de propiedad horizontal","Cra. 10 #24-49, Of. 301, Ed. Gómez, Bogotá",https://multisoluciones.com.co,"OUTDATED — diseño jerárquico estilo años 2000, sin testimonios, sin ruta de conversión clara",asesoria@multisoluciones.com.co,multisoluciones.com.co (sitio + footer); multisoluciones.com.co/administracion-de-edificios.html,"Firma multiservicio (NIIF, outsourcing, revisoría fiscal, administración de edificios) con presencia en 3 ciudades; servicio B2B dependiente de confianza con una puerta digital débil pese a su escala real.",8
22,Oscar Nieto Dental,"Odontología (implantología, All-on-4, turismo dental)","Carrera 15 #99-13, Bogotá",https://oscarnietodental.com,"WEBSITE EXISTS BUT VERY WEAK — sin reservas en línea, sin testimonios ni galería de antes/después",onietodental@gmail.com,oscarnietodental.com,Especialista en implantes All-on-4/arco completo dirigido a pacientes internacionales — ticket muy alto.,8
23,Pravice Abogados,Propiedad intelectual (marcas/patentes/derechos de autor),"Calle 98 #22-64, Of. 716, Ed. Calle 100 PH, Bogotá",https://abogadosespecialistas.com.co/propiedad-intelectual.html,"OUTDATED — diseño moderadamente anticuado, secciones repetitivas, aspecto de 'principios de los 2020'",servicioalcliente@pravice.co,abogadosespecialistas.com.co/propiedad-intelectual.html,23 años en práctica de marcas y patentes — fuerte credibilidad institucional que el sitio no refleja.,8
24,Páez Mora & Asociados,Derecho inmobiliario / propiedad horizontal / construcción,Bogotá D.C. (confirmado vía Facebook y Páginas Amarillas),https://paezmora.co/,"WEBSITE EXISTS BUT VERY WEAK — texto de plantilla sin editar visible en el sitio, contenido de 2020 (COVID) aún vigente, sin correo/dirección en home",info@paezmora.com,paezmora.co/contacto/; facebook.com/paezmoraasociados; Páginas Amarillas,Maneja disputas inmobiliarias y de construcción de alto valor para edificios/constructoras; sitio visiblemente descuidado (texto placeholder en vivo) es una señal fuerte de oportunidad.,8
25,Quijano Orjuela Abogados,Derecho laboral corporativo,"Cra 55 #152b-68 Torre A, Of. 807, Bogotá",https://quijanoorjuelaabogados.com/services/derecho-laboral/,"OUTDATED — imágenes rotas en todo el sitio, contenido repetitivo, plantilla WordPress desactualizada",info@quijanoorjuelaabogados.com,quijanoorjuelaabogados.com (servicios),Firma laboral con red nacional que atiende empleadores en disputas colectivas y pensiones — retainers corporativos de alto valor perjudicados por elementos visuales rotos.,8
26,Quinta Fachada Estudio,"Arquitectura + diseño de interiores (residencial/comercial/institucional, neuroarquitectura)","Cl 93b #11a-84, Of. 402, Bogotá",https://arquitecturainterior.com.co/,WEBSITE EXISTS BUT VERY WEAK — el propio sitio funciona más como blog/SEO que como vitrina de portafolio pulida,contacto@arquitecturainterior.com.co,arquitecturainterior.com.co (footer),"20 años de experiencia, equipo multidisciplinario, ángulo diferenciado en neurociencia aplicada al diseño — nicho de fuerte confianza/credibilidad.",8
27,RRUA Legal,Derecho migratorio (visas EE.UU./Colombia),"Calle 90 #13A-31, Of. 405, Bogotá",https://www.rrualegal.com/,"WEBSITE EXISTS BUT VERY WEAK — plantilla tipo Wix, carruseles lentos, poco contenido sustantivo",info@rrulegal.com,rrualegal.com (homepage),Casos migratorios transfronterizos (incluye trámites de embajada) son de alto valor y dependen de confianza; el sitio plantilla perjudica la conversión de solicitantes con poder adquisitivo.,8
28,Tecni (Tecnología Inmobiliaria S.A.),"Bienes raíces comerciales (oficinas corporativas, bodegas)","Ave. Cra. 7 #127-48, Of. 1101, Bogotá D.C.",https://tecni.com.co/,"OUTDATED — construcción WordPress básica, diseño tradicional, sin posicionamiento premium diferenciado pese a clientes de primer nivel",contactenos@tecni.com.co,tecni.com.co,"Firma de 50 años que arrienda espacio corporativo a Adidas, Cruz Verde, Allegion; proyecto Team Tower 93 (10.000+ m²) — valores de transacción muy altos.",8
29,The Grad School,Educación ejecutiva — preparación GMAT/GRE/MBA y asesoría de admisiones internacionales,"Cra. 16a #86a-57, Bogotá",http://thegradschool.com/,"OUTDATED — construcción anticuada en Visual Composer, sin testimonios/prueba social pese a 20 años y 2.000+ estudiantes ubicados",info@thegradschool.com,"Google Maps (5.0★, 9 reseñas); bloque de contacto del sitio",Asesoría de admisiones/preparación de exámenes para programas en el extranjero y MBA es un servicio de alta confianza y alto ticket (miles de USD por cliente) donde los aspirantes investigan mucho a sus asesores en línea.,8
30,Tritech (Fisioterapia Deportiva / Triatlón & Bike Fitting),"Fisioterapia / rehabilitación deportiva (triatlón, ciclismo, running)","Carrera 16A #85-85 (también Diagonal 82g #72b-21), Bogotá",https://tritech.com.co/fisioterapia-deportiva.html,"OUTDATED — plantilla de varios años, sin botón de WhatsApp, sin reservas en línea, sin testimonios, CTAs débiles",info@ortomec.com.co,tritech.com.co,Atiende triatletas/ciclistas que pagan por paquetes de bike-fitting + rehabilitación — nicho premium de gasto recurrente perjudicado por la ausencia total de herramientas modernas de conversión.,8
31,ARQOM Arquitectura,Arquitectura + remodelación de interiores + construcción,Bogotá,https://www.arqomarquitectura.com/,WEBSITE EXISTS BUT VERY WEAK — plantilla Wix genérica; sin marca premium distintiva pese a buenas fotos,info@arqomarquitectura.com,arqomarquitectura.com (footer/contacto),"30+ proyectos de renovación/remodelación completados en Bogotá, muebles a medida + ejecución integral — alto valor por proyecto, dependiente de confianza.",7
32,ASA Seguros (Agencia ASA),Corretaje de seguros para PYMES/fondos de empleados,Oficina Bogotá (verificada telefónicamente),https://www.asacolombia.com,"WEBSITE EXISTS BUT VERY WEAK — anticuado frente a corredores contemporáneos, sin testimonios",recaudos@asaseguros.co,asacolombia.com (teléfono Bogotá listado),Corredor asociado a AON con ~2.500 clientes atendiendo PYMES y fondos de beneficios; negocio sólido con presentación digital débil.,7
33,AdyCont SAS,Planeación financiera y asesoría tributaria para PYMES,"Calle 39 Sur 53-21, Ed. Katari, Bogotá",https://adycont.com.co,"OUTDATED — diseño tipo Joomla envejecido, sin testimonios ni formularios de captura",info@adycont.com.co,adycont.com.co,Planeación financiera y cumplimiento tributario DIAN para dueños de PYMES que deben confiar sus finanzas a un asesor; el sitio no ofrece prueba de credibilidad.,7
34,Alianza Contable,Contabilidad y asesoría tributaria,"Calle 70 #69i-28, Bogotá",https://alianzacontable.com,"WEBSITE EXISTS BUT VERY WEAK — estilo WordPress anticuado, sin WhatsApp, sin testimonios, sin formularios de captura",info@alianzacontable.com,alianzacontable.com,12+ años atendiendo empresas de Bogotá en contabilidad/nómina/tributario tercerizados; nicho dependiente de credibilidad sin ninguna prueba social en el sitio.,7
35,Ariza Inmobiliaria & Constructora,Bienes raíces + remodelación/construcción,Bogotá,https://www.arizaconstructora.com/,POOR DESIGN — sitio estilo agencia inmobiliaria (listados de propiedades) en vez de vitrina de portafolio orientada al diseño — débil para vender remodelaciones a medida premium,info@arizaconstructora.com,arizaconstructora.com (footer/contacto),Combina remodelación con asesoría inmobiliaria/licencias para clientes de Bogotá — transacciones de alto valor dependientes de confianza.,7
36,Armonika Odontología,"Odontología (ortodoncia, implantes, blanqueamiento)","Santa Bárbara Occidental, Usaquén, Bogotá",https://armonikaodontologia.com,"WEBSITE EXISTS BUT VERY WEAK — sin galería de antes/después, gráficos placeholder incompletos",sonrisarmonika@gmail.com,armonikaodontologia.com,Clínica dental integral en zona adinerada de Santa Bárbara.,7
37,Arqydiseño (Arqy Diseño),"Arquitectura, licencias, construcción, visualización 3D","Kra 13 #96-67, Of. 608, Bogotá",https://arqdiseno.com/,"POOR DESIGN — plantilla Elementor genérica de pequeña firma; contenido estructurado como páginas SEO en vez de portafolio, débil para un comprador premium orientado al diseño",comercial@arqdiseno.com.co,arqdiseno.com (footer),Diseño+licencias+construcción+asesoría de inversión integral para proyectos residenciales/comerciales — venta de alto valor y fuerte dependencia de confianza.,7
38,Arte Oral,"Odontología (diseño de sonrisa, carillas)","Calle 110 #9-25, Bogotá",https://arteoral.com,"WEBSITE EXISTS BUT VERY WEAK — sin testimonios de pacientes pese a posicionamiento premium, gráficos placeholder",info.cita@arteoral.com,arteoral.com/diseno-de-sonrisa/,"Práctica boutique de diseño de sonrisa/carillas — alto valor por caso, dependiente de confianza.",7
39,COLVISA (Colombia Visa / Migración),Derecho migratorio,"Calle 93b #18-84, Of. 202, Centro Empresarial 93, Bogotá",https://visacolombianaparaextranjeros.com/abogados-de-inmigracion/,"WEBSITE EXISTS BUT VERY WEAK — bloques de texto densos, contenido duplicado en 6 páginas de ciudades, correos inconsistentes entre header/footer",gerencia@colvisa.com,visacolombianaparaextranjeros.com/abogados-de-inmigracion/,Práctica migratoria multi-ciudad de 14 años con credibilidad cercana a embajadas; un sitio más claro elevaría la conversión en casos de visa de alto valor.,7
40,CRIOLAB (sede Bogotá),Medicina estética / body contouring (criolipólisis),"Carrera 16 #88-81, Consultorio D-08, Bogotá",https://criolab.co/,"WEBSITE EXISTS BUT VERY WEAK — visualmente limpio pero sin nombres/credenciales médicas, sin galería de antes/después, sin testimonios",agendabogota@criolab.co,criolab.co,Cadena estética de dos ciudades con clientes recurrentes de reducción de grasa/contorno corporal; faltan marcadores de credibilidad médica clave.,7
41,Ciruplastia,Medicina/cirugía estética,"Carrera 15 #92-29, Bogotá",https://ciruplastia.com,WEBSITE EXISTS BUT VERY WEAK — sin galería de antes/después ni testimonios — brecha importante para una práctica estética,doctormonroy@ciruplastia.com,ciruplastia.com,"Equipo de 4 especialistas (cirugía plástica, dermatología, ORL) — valor por cliente muy alto.",7
42,Ciudad Legal Abogados,Derecho de familia,"Oficinas con cita previa en El Nogal y Chicó, Bogotá",https://www.ciudadlegalabogados.com/abogado-de-familia-bogota/,"LOW-CONVERSION WEBSITE — página de aterrizaje de 30 secciones, texto repetitivo, imágenes genéricas de stock",contacto@ciudadlegalabogados.com,ciudadlegalabogados.com/abogado-de-familia-bogota/,"Oficinas en Nogal/Chicó indican clientela adinerada para divorcio, custodia y sucesiones; la estructura extensa y desenfocada probablemente reduce la conversión.",7
43,Clínica Colombiana de Cirugía Plástica (CCCP),Cirugía plástica,"Autopista Norte #103b-59, Bogotá",https://cccp.com.co/,"OUTDATED — plantilla WordPress Slider Revolution, diseño anticuado, sin testimonios de pacientes, sin fotos/bios de doctores en portada",info@fabianblanchar.com,cccp.com.co (home + /doctores/),"Clínica quirúrgica multi-doctor (mama, cuerpo, facial) — credibilidad institucional real y alto ingreso por cirugía, pero el sitio anticuado resta confianza frente a la competencia.",7
44,Clínica Dental Santa Bárbara,Odontología (general/ortodoncia/implantes),"Calle 123 #7B-70, Bogotá",https://clinicadentalsantabarbara.com,"WEBSITE EXISTS BUT VERY WEAK — sin testimonios ni galería de antes/después, diseño funcional pero no pulido",contacto@clinicadentalsantabarbara.com,clinicadentalsantabarbara.com,"Fundada en 2000, odontología especializada integral en el norte adinerado de Bogotá.",7
45,Colombiana de Finca Raíz (CFR Inmobiliaria),Agencia inmobiliaria (venta/arriendo/administración),"Cra 19c #86-14, Of. 504, Bogotá D.C.",https://www.colombianadefincaraiz.co/,OUTDATED — convenciones y estilo de diseño de mediados de los 2000 pese a 40+ años en el mercado,contacto@colombianadefincaraiz.co,colombianadefincaraiz.co,"Trayectoria de 40 años, arrendador registrado (Matrícula 367), cartera completa de venta+arriendo+administración.",7
46,Colore Design,"Diseño de interiores y remodelación (cocinas, baños, oficinas)","Calle 160 #72-51, Bogotá",https://coloredesign.com.co/,"POOR DESIGN — mezcla remodelación premium con tienda de decoración tipo e-commerce, diluyendo una imagen de marca de alta gama; diseño de plantilla",comercial@coloredesign.com.co,coloredesign.com.co (footer),Diseño+construcción+mobiliario integral para clientes residenciales/comerciales — proyectos de renovación recurrentes de alto valor.,7
47,Consorcio Contable & Tributario,Asesoría contable y tributaria,"Av. El Dorado 68C-61, Of. 204, Bogotá",https://asesoriacontable.com.co,LOW-CONVERSION WEBSITE — funcional pero sin testimonios/casos en una categoría dependiente de confianza,contactenos@asesoriacontable.com.co,asesoriacontable.com.co,Firma de 12 años en outsourcing/tributario/nómina para empresas; tiene formulario pero nada que genere la confianza que exige contratar un contador.,7
48,Cuerpo Arte y Palabra — Psicólogos Clínicos Bogotá,Psicología privada (terapia individual/pareja),"Cra. 20 #137-21, Cedritos/Usaquén, Bogotá",https://www.cuerpoarteypalabra.com/,"OUTDATED — estructura de plantilla básica y anticuada, sin reservas en línea, baja sofisticación visual",psicologia.cap.bogota@gmail.com,cuerpoarteypalabra.com; psicologosbogota.com,Terapia privada recurrente en zona adinerada del norte de Bogotá es de alto valor de por vida y dependiente de confianza; el sitio anticuado es una primera impresión débil.,7
49,DSI Arquitectos,Diseño/decoración de interiores y remodelación llave en mano,"Cl. 94 #49A-21, Barrios Unidos, Bogotá",https://www.dsiarquitectos.com/,"POOR DESIGN — lista de servicios mezcla remodelación premium con 'limpieza/mantenimiento', debilitando la imagen de marca de lujo/alto ticket",proyectos@dsiarquitectos.com,dsiarquitectos.com (footer),"25 años en el mercado, proyectos residenciales/de oficina llave en mano — fuerte necesidad de credibilidad actualmente sub-aprovechada en línea.",7
50,DentaLine (Dentalinesas),Odontología general/especializada,"Teusaquillo, Calle 44 #16-74, Bogotá",https://dentalinesas.com,"WEBSITE EXISTS BUT VERY WEAK — sin galería de antes/después, diseño básico",info@dentalinesas.com,dentalinesas.com/contacto/,Clínica dental especializada en Bogotá central con base real de reseñas de pacientes.,7
51,Dental VIP Service,"Odontología (ortodoncia, alineadores invisibles, diseño digital de sonrisa)","Cedritos/Usaquén, Cra 14 #119-77, Bogotá",https://www.dentalvipservice.com,"OUTDATED — diseño mixto anticuado/moderno, sin reservas en línea claras",servicioalcliente@dentalvipservice.com,dentalvipservice.com,Práctica de varias décadas especializada en ortodoncia premium y diseño digital de sonrisa.,7
52,Dientes & Sonrisa,"Odontología (implantología, ortodoncia, cirugía)","Carrera 15 #77-90, Bogotá",https://www.dientesysonrisa.com,"OUTDATED — diseño visual anticuado, sin reservas en línea ni galería de antes/después",info@dientesysonrisa.com,dientesysonrisa.com/english-speaking-dentist-bogota-colombia.html,"Operando desde 1990, 6 especialistas, 4.9★/330 reseñas — práctica de alto valor consolidada con un sitio anticuado.",7
53,Doral Colombia AC S.A.S.,Administración de copropiedades,"Ak 15 #119-11, Ed. Epicocentro, Local 111, Santa Bárbara, Bogotá",https://www.doralcolombia.com/,"OUTDATED — diseño básico/poco atractivo, mínima imaginería más allá del logo, estética anticuada",copropiedades@doralcolombia.com,doralcolombia.com,"Administrador de copropiedades establecido (desde 2015) en zona exclusiva (Santa Bárbara) — contratos de administración recurrentes.",7
54,Dr. Hernando Pérez Camargo / Clínica Me Mundo Estético,Cirugía plástica,"Ac. 24 #51-40, Ed. Capital Tower, Of. 416, Bogotá",https://www.hernandoperezcirujano.com/,LOW-CONVERSION WEBSITE — sin galería de antes/después ni testimonios; contacto a una dirección de Hotmail,Drhernandoperezcirujano@hotmail.com,hernandoperezcirujano.com; memundoestetico.com/sobre-la-clinica/,"Cirujano formado (Universidad de Buenos Aires, fellowship oncoplástico en España) con 8.000+ pacientes reclamados — credenciales fuertes sin ninguna prueba visual de resultados.",7
55,Dr. Juan Carlos León (León Cirugía Plástica),Cirugía plástica,"Clínica La Carolina, Carrera 14 #127-11, Cons. 401, Bogotá",https://leoncirugiaplastica.com/,LOW-CONVERSION WEBSITE — sin galería de antes/después ni testimonios; contacto vía correo de Yahoo,plasticaleon@yahoo.com,leoncirugiaplastica.com,"Cirujano miembro de SCCP en escenario de clínica premium con volumen quirúrgico real, pero el sitio omite la prueba visual que convierte compradores de alta intención.",7
56,Dr. Luis Carlos Burbano — Cardiólogo,Cardiología privada,"Carrera 7 #119-14, Cons. 413, Centro Médico de La Sabana, Bogotá",https://drburbanocardiologo.com/,"OUTDATED — construido en Drupal 8 con tema médico genérico de ~2019, sin reservas reales en línea (redirige a Facebook)",drburbanocardiologo@gmail.com,drburbanocardiologo.com,"Consultas/diagnósticos de cardiología (ecocardiogramas, Holter, consultas privadas) son de alta confianza, a menudo pago directo y dirigidos por referidos; una plantilla anticuada perjudica la credibilidad.",7
57,Dr. Saulo Roa Odontología,Odontología general/implantes,"Los Héroes, Bogotá",https://www.sauloroa.co/,"OUTDATED — diseño algo anticuado, sin testimonios ni galería de antes/después, contacto por WhatsApp/Gmail",sauloroco56@gmail.com,sauloroa.co,Dentista independiente enfocado en implantes; el contacto por Gmail personal señala una inversión digital pobre pese a procedimientos de alto valor.,7
58,Dra. Gina Ardila (Ortodoncia),Ortodoncia (Invisalign/invisible),"Av Cra 19 #102-53, Bogotá",https://draginaardila.com,WEBSITE EXISTS BUT VERY WEAK — sin sección formal de testimonios ni galería de antes/después,info@draginaardila.com,draginaardila.com,Posicionamiento boutique de ortodoncia premium ('solo 3 valoraciones diarias').,7
59,Estudio Clave Arquitectura,"Arquitectura y construcción (residencial/comercial, incl. fincas rurales)","Calle 92 #16-30, Bogotá (+ oficina en Boyacá)",https://estudioclavearquitectura.com/,WEBSITE EXISTS BUT VERY WEAK — dirección de contacto en Gmail; plantilla Elementor genérica sin identidad visual premium distintiva,infoestudioclave@gmail.com,estudioclavearquitectura.com (footer/mailto),Diseño+licencias+construcción integral de casas a medida en Bogotá/Cundinamarca/Boyacá — alto valor por proyecto.,7
60,Estudio López (Arquitectura),Diseño de interiores y remodelación integral premium,"Santa Bárbara, Bogotá D.C.",https://estudiolopezarq.com/,WEBSITE EXISTS BUT VERY WEAK — sitio de plantilla boutique; posicionamiento 'premium' no respaldado por una experiencia web distintiva,proyectos@estlopez.com,estudiolopezarq.com (footer),Se posiciona explícitamente en acabados premium/de lujo para clientes residenciales y corporativos en Bogotá.,7
61,Estudioderma (Dr. Daniel Mauricio Cuestas Rodríguez),Dermatología estética,"Calle 99 No 49-38, Of. 1601, Centum Business Center, Bogotá",https://www.estudioderma.com/,"WEBSITE EXISTS BUT VERY WEAK — plantilla Wix, sin galería de antes/después, sin testimonios, carrusel de imágenes tipo placeholder",administracion@estudioderma.com,estudioderma.com,Práctica de dermatología en el norte de Bogotá con clientes recurrentes de alto valor en acné/estética; sitio débil sin señales de confianza.,7
