row,business_name,recipient_email,gmail_account,subject,status
68,HAR Lab,facturacionhargroup@gmail.com,gmail_flame-gliff,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
70,Inmobiliaria Roberto Escallon,inmobiliaria@robertoescallon.com,gmail_sleep-acerra,Sobre el correo que te envié,DRAFTED_NOT_SENT
73,K-Design,comercial@k-design.com.co,gmail_sleep-acerra,¿Seguimos la conversación?,DRAFTED_NOT_SENT
75,Marco Martínez Estética,info@marcomartinezestetica.com,gmail_ranter-slop,Un recordatorio rápido,DRAFTED_NOT_SENT
76,Megapredios,info@megapredios.com.co,gmail_sleep-acerra,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
77,MiPsiquiatra.com.co,contactenos@mipsiquiatra.com.co,gmail_flame-gliff,Sobre el correo que te envié,DRAFTED_NOT_SENT
78,Ortodoncia en Bogotá,drayennyrojas@gmail.com,gmail_ranter-slop,¿Seguimos la conversación?,DRAFTED_NOT_SENT
79,PRG Tributaristas,contacto@prgtributaristas.com,gmail_sleep-acerra,Un recordatorio rápido,DRAFTED_NOT_SENT
80,Patiño Abogados,jose.patino@pac-abg.com,gmail_flame-gliff,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
81,PG Automóviles,pgautomoviles@gmail.com,gmail_ranter-slop,Sobre el correo que te envié,DRAFTED_NOT_SENT
82,Provisión Seguros,info@provision.com.co,gmail_sleep-acerra,¿Seguimos la conversación?,DRAFTED_NOT_SENT
83,RG Colombia,info@rgcolombia.com,gmail_flame-gliff,Un recordatorio rápido,DRAFTED_NOT_SENT
84,Roberto Collins,pilar@robertocollins.com,gmail_ranter-slop,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
85,SA Bienes Raíces,comercial@sergioalvarezab.com,gmail_sleep-acerra,Sobre el correo que te envié,DRAFTED_NOT_SENT
86,SERDAN,reclamos@serdan.com.co,gmail_flame-gliff,¿Seguimos la conversación?,DRAFTED_NOT_SENT
87,SH Medical Skin Center,pacientes@shmedicalskincenter.com,gmail_ranter-slop,Un recordatorio rápido,DRAFTED_NOT_SENT
88,SLC Abogados,laboral@slcabogados.co,gmail_sleep-acerra,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
89,Sergio Velosa Diseño de Interiores,sergiovelosadiseno@gmail.com,gmail_flame-gliff,Sobre el correo que te envié,DRAFTED_NOT_SENT
90,Soluciones e Ingeniería Industrial SAS,gerencia@solucioneseingenieriaindustrial.com,gmail_ranter-slop,¿Seguimos la conversación?,DRAFTED_NOT_SENT
91,Svelthus,elpip82@hotmail.com,gmail_sleep-acerra,Un recordatorio rápido,DRAFTED_NOT_SENT
92,VERA Asesores Financieros,info@veraasesoresfinancieros.com,gmail_flame-gliff,¿Alcanzaste a ver mi correo anterior?,DRAFTED_NOT_SENT
93,Zume Arquitectura,info@zumearquitectura.com,gmail_ranter-slop,Sobre el correo que te envié,DRAFTED_NOT_SENT
